Name,Distance,Rating,Votes,Address,Website,OriginFile
Pariwar General Store Near lic office Mahalaxmi,0.71 KM,,0 Votes,"Shop-6 majid bldg, Jacob circal, Mahalaxmi, Mumbai - 400011, Near lic office",https://www.justdial.com/Mumbai/Pariwar-General-Store-Near-lic-office-Mahalaxmi/022PXX22-XX22-121227143609-F4P6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Laxmi General Stores Opp Masjid Mahalaxmi,0.72 KM,3.5,7 Votes,"Shop No 7, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Opp Masjid",https://www.justdial.com/Mumbai/Laxmi-General-Stores-Opp-Masjid-Mahalaxmi/022PXX22-XX22-160520163802-C2D7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Rajesh Kirana Store,,,0 Votes,"Shop No 21 Building No 481 Byculla, Mumbai - 400011",https://www.justdial.com/Mumbai/Rajesh-Kirana-Store/022PXX22-XX22-180407225149-G3T5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Kasheram Khedekar General Stores Chinchpokli,,,0 Votes,"Ambedkaer Sadan,, Sahane Gurji Marg, Chinchpokli, Mumbai - 400011",https://www.justdial.com/Mumbai/Kasheram-Khedekar-General-Stores-Chinchpokli/022PXX22-XX22-180411104914-B7Z7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Shree Pant Traders Near Jacob Circle Mahalaxmi,0.73 KM,4.5,1 Votes,"Shop No 3, Rangwala Building, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Near Jacob Circle",https://www.justdial.com/Mumbai/Shree-Pant-Traders-Near-Jacob-Circle-Mahalaxmi/022P209588_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Jay Ambika Dhanya Bhandar Near station Mahalaxmi,0.74 KM,,0 Votes,"a-9,rangwala Bldg, Dr.E.Moses Road, Mahalaxmi, Mumbai - 400011, Near station",https://www.justdial.com/Mumbai/Jay-Ambika-Dhanya-Bhandar-Near-station-Mahalaxmi/022PXX22-XX22-150923101342-B7C4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Shubh Prabhat Dhanay Bhandar,0.74 KM,2.0,2 Votes,"Shop No.A11, Rangwala Biulding, Sant Gardko Maharaj Chowk, Shahir Amar Sheikh Marg, Mumbai - 400011",https://www.justdial.com/Mumbai/Shubh-Prabhat-Dhanay-Bhandar/022PXX22-XX22-181204065852-Z5K7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Kastur General stores Jacob Circle Mahalaxmi,0.75 KM,,0 Votes,"Shop no 10, Naya waala Chal, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Kastur-General-stores-Jacob-Circle-Mahalaxmi/022PXX22-XX22-140603165050-T3R4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Prakash Dhanya Bhandaar Saatrasta Mahalaxmi,0.75 KM,,0 Votes,"Rangwala Building, Shahir Amar Sheikh Marg, Mahalaxmi, Mumbai - 400011, Saatrasta",https://www.justdial.com/Mumbai/Prakash-Dhanya-Bhandaar-Saatrasta-Mahalaxmi/022PXX22-XX22-160317135558-Q1U2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Coco General Store Dhobi Ghat Saat Rasta Mahalaxmi,0.76 KM,,0 Votes,"Shop No 1, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Dhobi Ghat Saat Rasta",https://www.justdial.com/Mumbai/Coco-General-Store-Dhobi-Ghat-Saat-Rasta-Mahalaxmi/022PK036240_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Ranouk kirana store Mahalaxmi,0.76 KM,,0 Votes,"aisha apartment, maulana azad street, Mahalaxmi, Mumbai - 400011",https://www.justdial.com/Mumbai/Ranouk-kirana-store-Mahalaxmi/022PXX22-XX22-140704142613-R4M4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
